timestamp,city,temperature,humidity,pressure,weather,wind_speed,season
2024-10-14 13:49:23.106192,Rajouri,27.28,26,1014,clear sky,3.57,Post-monsoon
2024-10-14 13:49:23.426310,Srinagar,25.03,21,1013,clear sky,0.84,Post-monsoon
2024-10-14 13:49:23.746785,Udhampur,27.14,34,1014,clear sky,3.18,Post-monsoon
2024-10-14 13:49:24.076632,Bangalore,24.8,78,1010,broken clouds,4.12,Post-monsoon
2024-10-14 13:49:24.380603,Chamrajnagar,21.84,89,1011,overcast clouds,1.19,Post-monsoon
2024-10-14 13:49:24.706508,Chikmagalur,23.06,79,1010,overcast clouds,3.02,Post-monsoon
2024-10-14 13:49:25.007661,Chitradurga,26.29,66,1010,light rain,7.25,Post-monsoon
2024-10-14 13:49:25.335596,Davangere,27.82,64,1009,overcast clouds,4.98,Post-monsoon
2024-10-14 13:49:25.642523,Kolar,20.71,81,1010,overcast clouds,5.43,Post-monsoon
2024-10-14 13:49:25.967489,Koppal,28.07,65,1009,overcast clouds,4.76,Post-monsoon
2024-10-14 13:49:26.288743,Mandya,26.47,86,1010,overcast clouds,1.25,Post-monsoon
2024-10-14 13:49:26.917431,Mysore,26.0,78,1011,light intensity drizzle,2.06,Post-monsoon
2024-10-14 13:49:27.255082,Raichur,30.35,54,1009,overcast clouds,4.77,Post-monsoon
2024-10-14 13:49:27.556311,Shimoga,26.51,75,1009,overcast clouds,2.32,Post-monsoon
2024-10-14 13:49:27.870086,Udupi,29.58,74,1008,overcast clouds,3.14,Post-monsoon
2024-10-14 13:49:28.188338,Alappuzha,26.63,80,1008,moderate rain,2.32,Post-monsoon
2024-10-14 13:49:28.512855,Ernakulam,28.99,76,1008,overcast clouds,2.6,Post-monsoon
2024-10-14 13:49:28.817613,Idukki,20.87,92,1009,overcast clouds,1.82,Post-monsoon
2024-10-14 13:49:29.150516,Kannur,27.81,71,1008,overcast clouds,0.63,Post-monsoon
2024-10-14 13:49:29.987639,Kollam,26.47,82,1008,overcast clouds,2.95,Post-monsoon
